material,LCstage,disposition,impactCategory,impactUnits,impactFactor
Electronics,EOL,Combustion,"Global Warming Air, excl. biogenic carbon",kg CO2 eq.,138.4444786
Electronics,EOL,Combustion,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,149.3375272
Electronics,EOL,Combustion,Human Health Particulate Air,kg PM2.5 eq.,0.230944121
Electronics,EOL,Combustion,"Human toxicity, cancer (recommended)",CTUh,1.51E-07
Electronics,EOL,Combustion,"Human toxicity, non-canc. (recommended)",CTUh,1.40E-05
Electronics,EOL,Combustion,Ozone Depletion Air,kg CFC 11 eq.,8.78E-09
Electronics,EOL,Combustion,"Resources, Fossil fuels",MJ surplus energy,220.3472392
Electronics,EOL,Combustion,Smog Air,kg O3 eq.,8.79524616
Electronics,EOL,Combustion,Ecotoxicity (recommended and interim),CTUe,3900.807905
Electronics,EOL,Combustion,Ecotoxicity (recommended only),CTUe,0.383277102
Electronics,EOL,Combustion,"Human toxicity, cancer (recommended and interim)",CTUh,1.45E-05
Electronics,EOL,Combustion,"Human toxicity, cancer (recommended only)",CTUh,5.58E-09
Electronics,EOL,Combustion,"Human toxicity, non-canc. (recommended and interim)",CTUh,2.12E-05
Electronics,EOL,Combustion,"Human toxicity, non-canc. (recommended only)",CTUh,1.97E-10
Electronics,EOL,Combustion,high characterization factor for unspecified water,m3 world equiv.,130.8253678
Electronics,EOL,Combustion,low characterization factor for unspecified water,m3 world equiv.,48.05821511
Electronics,EOL,Combustion,OECD+BRIC average for unspecified water,m3 world equiv.,96.92172879
Electronics,EOL,Combustion,Blue water consumption,kg,2872.749987
Electronics,EOL,Combustion,Blue water use,kg,281197.0186
Electronics,EOL,Combustion,Total freshwater consumption (including rainwater),kg,3183.861069
Electronics,EOL,Combustion,Total freshwater use,kg,282089.3899
Electronics,EOL,Combustion,high characterization factor for unspecified water,m3 equiv.,1.872514929
Electronics,EOL,Combustion,low characterization factor for unspecified water,m3 equiv.,0.822449964
Electronics,EOL,Combustion,OECD+BRIC average for unspecified water,m3 equiv.,1.183861324
Electronics,EOL,Landfilling,Primary energy demand from ren. and non ren. resources (gross cal. value),MJ,732.2974495
Electronics,EOL,Landfilling,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,680.4311394
Electronics,EOL,Landfilling,Primary energy from non renewable resources (gross cal. value),MJ,688.6626402
Electronics,EOL,Landfilling,Primary energy from non renewable resources (net cal. value),MJ,636.7963302
Electronics,EOL,Landfilling,Primary energy from renewable resources (gross cal. value),MJ,43.63480929
Electronics,EOL,Landfilling,Primary energy from renewable resources (net cal. value),MJ,43.63480929
Electronics,EOL,Landfilling,"Global Warming Air, excl biogenic carbon, incl LUC, no norm/weight",kg CO2 eq.,40.52220872
Electronics,EOL,Landfilling,"Global Warming Air, incl biogenic carbon, incl LUC, no norm/weight",kg CO2 eq.,39.7640939
Electronics,EOL,Landfilling,"Global Warming Air, LUC only, no norm/weight",kg CO2 eq.,0.029445647
Electronics,EOL,Landfilling,Acidification,kg SO2 eq.,0.185538123
Electronics,EOL,Landfilling,Ecotoxicity (recommended),CTUe,3.494179452
Electronics,EOL,Landfilling,Eutrophication,kg N eq.,0.009416569
Electronics,EOL,Landfilling,"Global Warming Air, excl. biogenic carbon",kg CO2 eq.,40.49276307
Electronics,EOL,Landfilling,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,39.73464826
Electronics,EOL,Landfilling,Human Health Particulate Air,kg PM2.5 eq.,0.133330895
Electronics,EOL,Landfilling,"Human toxicity, cancer (recommended)",CTUh,1.73E-07
Electronics,EOL,Landfilling,"Human toxicity, non-canc. (recommended)",CTUh,1.97E-05
Electronics,EOL,Landfilling,Ozone Depletion Air,kg CFC 11 eq.,6.20E-10
Electronics,EOL,Landfilling,"Resources, Fossil fuels",MJ surplus energy,79.69702569
Electronics,EOL,Landfilling,Smog Air,kg O3 eq.,3.660878546
Electronics,EOL,Landfilling,Ecotoxicity (recommended and interim),CTUe,1034.942389
Electronics,EOL,Landfilling,Ecotoxicity (recommended only),CTUe,0.170312366
Electronics,EOL,Landfilling,"Human toxicity, cancer (recommended and interim)",CTUh,2.14E-06
Electronics,EOL,Landfilling,"Human toxicity, cancer (recommended only)",CTUh,7.25E-10
Electronics,EOL,Landfilling,"Human toxicity, non-canc. (recommended and interim)",CTUh,2.97E-05
Electronics,EOL,Landfilling,"Human toxicity, non-canc. (recommended only)",CTUh,5.28E-11
Electronics,EOL,Landfilling,high characterization factor for unspecified water,m3 world equiv.,2.778447062
Electronics,EOL,Landfilling,low characterization factor for unspecified water,m3 world equiv.,1.113406877
Electronics,EOL,Landfilling,OECD+BRIC average for unspecified water,m3 world equiv.,2.096402068
Electronics,EOL,Landfilling,Blue water consumption,kg,78.62329956
Electronics,EOL,Landfilling,Blue water use,kg,18626.95116
Electronics,EOL,Landfilling,Total freshwater consumption (including rainwater),kg,-176.3912247
Electronics,EOL,Landfilling,Total freshwater use,kg,20430.23678
Electronics,EOL,Landfilling,high characterization factor for unspecified water,m3 equiv.,0.04132702
Electronics,EOL,Landfilling,low characterization factor for unspecified water,m3 equiv.,0.020202693
Electronics,EOL,Landfilling,OECD+BRIC average for unspecified water,m3 equiv.,0.027473264
Electronics,EOL,Recycling,Primary energy demand from ren. and non ren. resources (gross cal. value),MJ,-2219.699669
Electronics,EOL,Recycling,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,-2087.587169
Electronics,EOL,Recycling,Primary energy from non renewable resources (gross cal. value),MJ,-2154.133244
Electronics,EOL,Recycling,Primary energy from non renewable resources (net cal. value),MJ,-2022.42904
Electronics,EOL,Recycling,Primary energy from renewable resources (gross cal. value),MJ,-65.56642502
Electronics,EOL,Recycling,Primary energy from renewable resources (net cal. value),MJ,-65.15812869
Electronics,EOL,Recycling,"Global Warming Air, excl biogenic carbon, incl LUC, no norm/weight",kg CO2 eq.,-155.7534364
Electronics,EOL,Recycling,"Global Warming Air, incl biogenic carbon, incl LUC, no norm/weight",kg CO2 eq.,-150.1660428
Electronics,EOL,Recycling,"Global Warming Air, LUC only, no norm/weight",kg CO2 eq.,-0.071391719
Electronics,EOL,Recycling,Acidification,kg SO2 eq.,-0.844900569
Electronics,EOL,Recycling,Ecotoxicity (recommended),CTUe,-73.75666764
Electronics,EOL,Recycling,Eutrophication,kg N eq.,-0.07082138
Electronics,EOL,Recycling,"Global Warming Air, excl. biogenic carbon",kg CO2 eq.,-155.6820447
Electronics,EOL,Recycling,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,-150.0946511
Electronics,EOL,Recycling,Human Health Particulate Air,kg PM2.5 eq.,-4.117517809
Electronics,EOL,Recycling,"Human toxicity, cancer (recommended)",CTUh,-2.09E-07
Electronics,EOL,Recycling,"Human toxicity, non-canc. (recommended)",CTUh,0.000109384
Electronics,EOL,Recycling,Ozone Depletion Air,kg CFC 11 eq.,-9.63E-07
Electronics,EOL,Recycling,"Resources, Fossil fuels",MJ surplus energy,-137.0894116
Electronics,EOL,Recycling,Smog Air,kg O3 eq.,-11.43873859
Electronics,EOL,Recycling,Ecotoxicity (recommended and interim),CTUe,-68836.14432
Electronics,EOL,Recycling,Ecotoxicity (recommended only),CTUe,-0.256360913
Electronics,EOL,Recycling,"Human toxicity, cancer (recommended and interim)",CTUh,-6.62E-06
Electronics,EOL,Recycling,"Human toxicity, cancer (recommended only)",CTUh,-3.85E-10
Electronics,EOL,Recycling,"Human toxicity, non-canc. (recommended and interim)",CTUh,0.000213804
Electronics,EOL,Recycling,"Human toxicity, non-canc. (recommended only)",CTUh,1.04E-09
Electronics,EOL,Recycling,high characterization factor for unspecified water,m3 world equiv.,-3.150674315
Electronics,EOL,Recycling,low characterization factor for unspecified water,m3 world equiv.,-1.934626356
Electronics,EOL,Recycling,OECD+BRIC average for unspecified water,m3 world equiv.,-2.652548549
Electronics,EOL,Recycling,Blue water consumption,kg,-694.657359
Electronics,EOL,Recycling,Blue water use,kg,-68428.9116
Electronics,EOL,Recycling,Total freshwater consumption (including rainwater),kg,-1122.342833
Electronics,EOL,Recycling,Total freshwater use,kg,-68724.77996
Electronics,EOL,Recycling,high characterization factor for unspecified water,m3 equiv.,-0.048000524
Electronics,EOL,Recycling,low characterization factor for unspecified water,m3 equiv.,-0.032572552
Electronics,EOL,Recycling,OECD+BRIC average for unspecified water,m3 equiv.,-0.037882552
Electronics,Production,Production,Primary energy demand from ren. and non ren. resources (gross cal. value),MJ,14716.83976
Electronics,Production,Production,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,13716.03497
Electronics,Production,Production,Primary energy from non renewable resources (gross cal. value),MJ,13003.31989
Electronics,Production,Production,Primary energy from non renewable resources (net cal. value),MJ,12114.06742
Electronics,Production,Production,Primary energy from renewable resources (gross cal. value),MJ,1713.519875
Electronics,Production,Production,Primary energy from renewable resources (net cal. value),MJ,1601.967541
Electronics,Production,Production,"Global Warming Air, excl biogenic carbon, incl LUC, no norm/weight",kg CO2 eq.,951.1398113
Electronics,Production,Production,"Global Warming Air, incl biogenic carbon, incl LUC, no norm/weight",kg CO2 eq.,891.2260271
Electronics,Production,Production,"Global Warming Air, LUC only, no norm/weight",kg CO2 eq.,0
Electronics,Production,Production,Acidification,kg SO2 eq.,7.824348614
Electronics,Production,Production,Ecotoxicity (recommended),CTUe,3665.256477
Electronics,Production,Production,Eutrophication,kg N eq.,1.758919528
Electronics,Production,Production,"Global Warming Air, excl. biogenic carbon",kg CO2 eq.,951.1398113
Electronics,Production,Production,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,891.2260271
Electronics,Production,Production,Human Health Particulate Air,kg PM2.5 eq.,1.375933952
Electronics,Production,Production,"Human toxicity, cancer (recommended)",CTUh,3.41E-05
Electronics,Production,Production,"Human toxicity, non-canc. (recommended)",CTUh,0.000217074
Electronics,Production,Production,Ozone Depletion Air,kg CFC 11 eq.,0.000116206
Electronics,Production,Production,"Resources, Fossil fuels",MJ surplus energy,1422.528657
Electronics,Production,Production,Smog Air,kg O3 eq.,76.14112749
Electronics,Production,Production,Ecotoxicity (recommended and interim),CTUe,14139283.07
Electronics,Production,Production,Ecotoxicity (recommended only),CTUe,4.537920708
Electronics,Production,Production,"Human toxicity, cancer (recommended and interim)",CTUh,3.47E-05
Electronics,Production,Production,"Human toxicity, cancer (recommended only)",CTUh,5.62E-08
Electronics,Production,Production,"Human toxicity, non-canc. (recommended and interim)",CTUh,0.000169655
Electronics,Production,Production,"Human toxicity, non-canc. (recommended only)",CTUh,3.35E-08
Electronics,Production,Production,high characterization factor for unspecified water,m3 world equiv.,-1199.94693
Electronics,Production,Production,low characterization factor for unspecified water,m3 world equiv.,-36.45555917
Electronics,Production,Production,OECD+BRIC average for unspecified water,m3 world equiv.,-723.3497439
Electronics,Production,Production,Blue water consumption,kg,6764.870344
Electronics,Production,Production,Blue water use,kg,1874632.389
Electronics,Production,Production,Total freshwater consumption (including rainwater),kg,6764.870344
Electronics,Production,Production,Total freshwater use,kg,1874632.389
Electronics,Production,Production,high characterization factor for unspecified water,m3 equiv.,-16.8699295
Electronics,Production,Production,low characterization factor for unspecified water,m3 equiv.,-2.108741188
Electronics,Production,Production,OECD+BRIC average for unspecified water,m3 equiv.,-7.189246981
Paper Fiber,EOL,Combustion,Primary energy demand from ren. and non ren. resources (gross cal. value),MJ,2482.589408
Paper Fiber,EOL,Combustion,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,2313.947187
Paper Fiber,EOL,Combustion,Primary energy from non renewable resources (gross cal. value),MJ,2109.671999
Paper Fiber,EOL,Combustion,Primary energy from non renewable resources (net cal. value),MJ,1941.029779
Paper Fiber,EOL,Combustion,Primary energy from renewable resources (gross cal. value),MJ,372.9174089
Paper Fiber,EOL,Combustion,Primary energy from renewable resources (net cal. value),MJ,372.9174089
Paper Fiber,EOL,Combustion,"Global Warming Air, excl biogenic carbon, incl LUC, no norm/weight",kg CO2 eq.,138.5456994
Paper Fiber,EOL,Combustion,"Global Warming Air, incl biogenic carbon, incl LUC, no norm/weight",kg CO2 eq.,149.438748
Paper Fiber,EOL,Combustion,"Global Warming Air, LUC only, no norm/weight",kg CO2 eq.,0.101220807
Paper Fiber,EOL,Combustion,Acidification,kg SO2 eq.,0.381104678
Paper Fiber,EOL,Combustion,Ecotoxicity (recommended),CTUe,6.151056699
Paper Fiber,EOL,Combustion,Eutrophication,kg N eq.,0.030589723
Paper Fiber,EOL,Combustion,"Global Warming Air, excl. biogenic carbon",kg CO2 eq.,138.4444786
Paper Fiber,EOL,Combustion,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,149.3375272
Paper Fiber,EOL,Combustion,Human Health Particulate Air,kg PM2.5 eq.,0.230944121
Paper Fiber,EOL,Combustion,"Human toxicity, cancer (recommended)",CTUh,1.51E-07
Paper Fiber,EOL,Combustion,"Human toxicity, non-canc. (recommended)",CTUh,1.40E-05
Paper Fiber,EOL,Combustion,Ozone Depletion Air,kg CFC 11 eq.,8.78E-09
Paper Fiber,EOL,Combustion,"Resources, Fossil fuels",MJ surplus energy,220.3472392
Paper Fiber,EOL,Combustion,Smog Air,kg O3 eq.,8.79524616
Paper Fiber,EOL,Combustion,Ecotoxicity (recommended and interim),CTUe,3900.807905
Paper Fiber,EOL,Combustion,Ecotoxicity (recommended only),CTUe,0.383277102
Paper Fiber,EOL,Combustion,"Human toxicity, cancer (recommended and interim)",CTUh,1.45E-05
Paper Fiber,EOL,Combustion,"Human toxicity, cancer (recommended only)",CTUh,5.58E-09
Paper Fiber,EOL,Combustion,"Human toxicity, non-canc. (recommended and interim)",CTUh,2.12E-05
Paper Fiber,EOL,Combustion,"Human toxicity, non-canc. (recommended only)",CTUh,1.97E-10
Paper Fiber,EOL,Combustion,high characterization factor for unspecified water,m3 world equiv.,130.8253678
Paper Fiber,EOL,Combustion,low characterization factor for unspecified water,m3 world equiv.,48.05821511
Paper Fiber,EOL,Combustion,OECD+BRIC average for unspecified water,m3 world equiv.,96.92172879
Paper Fiber,EOL,Combustion,Blue water consumption,kg,2872.749987
Paper Fiber,EOL,Combustion,Blue water use,kg,281197.0186
Paper Fiber,EOL,Combustion,Total freshwater consumption (including rainwater),kg,3183.861069
Paper Fiber,EOL,Combustion,Total freshwater use,kg,282089.3899
Paper Fiber,EOL,Combustion,high characterization factor for unspecified water,m3 equiv.,1.872514929
Paper Fiber,EOL,Combustion,low characterization factor for unspecified water,m3 equiv.,0.822449964
Paper Fiber,EOL,Combustion,OECD+BRIC average for unspecified water,m3 equiv.,1.183861324
Paper Fiber,EOL,Landfilling,Primary energy demand from ren. and non ren. resources (gross cal. value),MJ,732.2974495
Paper Fiber,EOL,Landfilling,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,680.4311394
Paper Fiber,EOL,Landfilling,Primary energy from non renewable resources (gross cal. value),MJ,688.6626402
Paper Fiber,EOL,Landfilling,Primary energy from non renewable resources (net cal. value),MJ,636.7963302
Paper Fiber,EOL,Landfilling,Primary energy from renewable resources (gross cal. value),MJ,43.63480929
Paper Fiber,EOL,Landfilling,Primary energy from renewable resources (net cal. value),MJ,43.63480929
Paper Fiber,EOL,Landfilling,"Global Warming Air, excl biogenic carbon, incl LUC, no norm/weight",kg CO2 eq.,40.52220872
Paper Fiber,EOL,Landfilling,"Global Warming Air, incl biogenic carbon, incl LUC, no norm/weight",kg CO2 eq.,39.7640939
Paper Fiber,EOL,Landfilling,"Global Warming Air, LUC only, no norm/weight",kg CO2 eq.,0.029445647
Paper Fiber,EOL,Landfilling,Acidification,kg SO2 eq.,0.185538123
Paper Fiber,EOL,Landfilling,Ecotoxicity (recommended),CTUe,3.494179452
Paper Fiber,EOL,Landfilling,Eutrophication,kg N eq.,0.009416569
Paper Fiber,EOL,Landfilling,"Global Warming Air, excl. biogenic carbon",kg CO2 eq.,40.49276307
Paper Fiber,EOL,Landfilling,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,39.73464826
Paper Fiber,EOL,Landfilling,Human Health Particulate Air,kg PM2.5 eq.,0.133330895
Paper Fiber,EOL,Landfilling,"Human toxicity, cancer (recommended)",CTUh,1.73E-07
Paper Fiber,EOL,Landfilling,"Human toxicity, non-canc. (recommended)",CTUh,1.97E-05
Paper Fiber,EOL,Landfilling,Ozone Depletion Air,kg CFC 11 eq.,6.20E-10
Paper Fiber,EOL,Landfilling,"Resources, Fossil fuels",MJ surplus energy,79.69702569
Paper Fiber,EOL,Landfilling,Smog Air,kg O3 eq.,3.660878546
Paper Fiber,EOL,Landfilling,Ecotoxicity (recommended and interim),CTUe,1034.942389
Paper Fiber,EOL,Landfilling,Ecotoxicity (recommended only),CTUe,0.170312366
Paper Fiber,EOL,Landfilling,"Human toxicity, cancer (recommended and interim)",CTUh,2.14E-06
Paper Fiber,EOL,Landfilling,"Human toxicity, cancer (recommended only)",CTUh,7.25E-10
Paper Fiber,EOL,Landfilling,"Human toxicity, non-canc. (recommended and interim)",CTUh,2.97E-05
Paper Fiber,EOL,Landfilling,"Human toxicity, non-canc. (recommended only)",CTUh,5.28E-11
Paper Fiber,EOL,Landfilling,high characterization factor for unspecified water,m3 world equiv.,2.778447062
Paper Fiber,EOL,Landfilling,low characterization factor for unspecified water,m3 world equiv.,1.113406877
Paper Fiber,EOL,Landfilling,OECD+BRIC average for unspecified water,m3 world equiv.,2.096402068
Paper Fiber,EOL,Landfilling,Blue water consumption,kg,78.62329956
Paper Fiber,EOL,Landfilling,Blue water use,kg,18626.95116
Paper Fiber,EOL,Landfilling,Total freshwater consumption (including rainwater),kg,-176.3912247
Paper Fiber,EOL,Landfilling,Total freshwater use,kg,20430.23678
Paper Fiber,EOL,Landfilling,high characterization factor for unspecified water,m3 equiv.,0.04132702
Paper Fiber,EOL,Landfilling,low characterization factor for unspecified water,m3 equiv.,0.020202693
Paper Fiber,EOL,Landfilling,OECD+BRIC average for unspecified water,m3 equiv.,0.027473264
Paper Fiber,EOL,Recycling,Primary energy demand from ren. and non ren. resources (gross cal. value),MJ,-31942.66791
Paper Fiber,EOL,Recycling,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,-30251.28191
Paper Fiber,EOL,Recycling,Primary energy from non renewable resources (gross cal. value),MJ,-16653.12312
Paper Fiber,EOL,Recycling,Primary energy from non renewable resources (net cal. value),MJ,-14961.73713
Paper Fiber,EOL,Recycling,Primary energy from renewable resources (gross cal. value),MJ,-15289.54479
Paper Fiber,EOL,Recycling,Primary energy from renewable resources (net cal. value),MJ,-15289.54479
Paper Fiber,EOL,Recycling,"Global Warming Air, excl biogenic carbon, incl LUC, no norm/weight",kg CO2 eq.,-2068.250811
Paper Fiber,EOL,Recycling,"Global Warming Air, incl biogenic carbon, incl LUC, no norm/weight",kg CO2 eq.,-2095.081959
Paper Fiber,EOL,Recycling,"Global Warming Air, LUC only, no norm/weight",kg CO2 eq.,0
Paper Fiber,EOL,Recycling,Acidification,kg SO2 eq.,-16.06463206
Paper Fiber,EOL,Recycling,Ecotoxicity (recommended),CTUe,-12.40291251
Paper Fiber,EOL,Recycling,Eutrophication,kg N eq.,-0.207070163
Paper Fiber,EOL,Recycling,"Global Warming Air, excl. biogenic carbon",kg CO2 eq.,-2068.250811
Paper Fiber,EOL,Recycling,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,-2095.081959
Paper Fiber,EOL,Recycling,Human Health Particulate Air,kg PM2.5 eq.,-2.794975042
Paper Fiber,EOL,Recycling,"Human toxicity, cancer (recommended)",CTUh,-2.23E-05
Paper Fiber,EOL,Recycling,"Human toxicity, non-canc. (recommended)",CTUh,-0.002618533
Paper Fiber,EOL,Recycling,Ozone Depletion Air,kg CFC 11 eq.,2.66E-08
Paper Fiber,EOL,Recycling,"Resources, Fossil fuels",MJ surplus energy,-475.2210651
Paper Fiber,EOL,Recycling,Smog Air,kg O3 eq.,-114.5623099
Paper Fiber,EOL,Recycling,Ecotoxicity (recommended and interim),CTUe,-3692148.037
Paper Fiber,EOL,Recycling,Ecotoxicity (recommended only),CTUe,-0.246762782
Paper Fiber,EOL,Recycling,"Human toxicity, cancer (recommended and interim)",CTUh,-3.49E-05
Paper Fiber,EOL,Recycling,"Human toxicity, cancer (recommended only)",CTUh,-1.32E-08
Paper Fiber,EOL,Recycling,"Human toxicity, non-canc. (recommended and interim)",CTUh,-0.003990991
Paper Fiber,EOL,Recycling,"Human toxicity, non-canc. (recommended only)",CTUh,-1.81E-09
Paper Fiber,EOL,Recycling,high characterization factor for unspecified water,m3 world equiv.,-4111.917653
Paper Fiber,EOL,Recycling,low characterization factor for unspecified water,m3 world equiv.,-124.9240725
Paper Fiber,EOL,Recycling,OECD+BRIC average for unspecified water,m3 world equiv.,-2478.73844
Paper Fiber,EOL,Recycling,Blue water consumption,kg,-72261.28004
Paper Fiber,EOL,Recycling,Blue water use,kg,-17962604.23
Paper Fiber,EOL,Recycling,Total freshwater consumption (including rainwater),kg,-72539.70878
Paper Fiber,EOL,Recycling,Total freshwater use,kg,-17962882.66
Paper Fiber,EOL,Recycling,high characterization factor for unspecified water,m3 equiv.,-57.80902404
Paper Fiber,EOL,Recycling,low characterization factor for unspecified water,m3 equiv.,-7.226128004
Paper Fiber,EOL,Recycling,OECD+BRIC average for unspecified water,m3 equiv.,-24.63574916
Paper Fiber,Production,Production,Primary energy demand from ren. and non ren. resources (gross cal. value),MJ,78471.25122
Paper Fiber,Production,Production,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,73366.80729
Paper Fiber,Production,Production,Primary energy from non renewable resources (gross cal. value),MJ,57180.37255
Paper Fiber,Production,Production,Primary energy from non renewable resources (net cal. value),MJ,52075.92863
Paper Fiber,Production,Production,Primary energy from renewable resources (gross cal. value),MJ,21290.87867
Paper Fiber,Production,Production,Primary energy from renewable resources (net cal. value),MJ,21290.87867
Paper Fiber,Production,Production,"Global Warming Air, excl biogenic carbon, incl LUC, no norm/weight",kg CO2 eq.,4663.241603
Paper Fiber,Production,Production,"Global Warming Air, incl biogenic carbon, incl LUC, no norm/weight",kg CO2 eq.,4652.712986
Paper Fiber,Production,Production,"Global Warming Air, LUC only, no norm/weight",kg CO2 eq.,0
Paper Fiber,Production,Production,Acidification,kg SO2 eq.,25.89418936
Paper Fiber,Production,Production,Ecotoxicity (recommended),CTUe,231.1884931
Paper Fiber,Production,Production,Eutrophication,kg N eq.,0.487520189
Paper Fiber,Production,Production,"Global Warming Air, excl. biogenic carbon",kg CO2 eq.,4663.241603
Paper Fiber,Production,Production,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,4652.712986
Paper Fiber,Production,Production,Human Health Particulate Air,kg PM2.5 eq.,4.095062557
Paper Fiber,Production,Production,"Human toxicity, cancer (recommended)",CTUh,2.87E-05
Paper Fiber,Production,Production,"Human toxicity, non-canc. (recommended)",CTUh,0.003453893
Paper Fiber,Production,Production,Ozone Depletion Air,kg CFC 11 eq.,3.54E-07
Paper Fiber,Production,Production,"Resources, Fossil fuels",MJ surplus energy,4435.906905
Paper Fiber,Production,Production,Smog Air,kg O3 eq.,224.1269104
Paper Fiber,Production,Production,Ecotoxicity (recommended and interim),CTUe,5148503.534
Paper Fiber,Production,Production,Ecotoxicity (recommended only),CTUe,0.528450816
Paper Fiber,Production,Production,"Human toxicity, cancer (recommended and interim)",CTUh,4.66E-05
Paper Fiber,Production,Production,"Human toxicity, cancer (recommended only)",CTUh,1.20E-07
Paper Fiber,Production,Production,"Human toxicity, non-canc. (recommended and interim)",CTUh,0.005168929
Paper Fiber,Production,Production,"Human toxicity, non-canc. (recommended only)",CTUh,5.82E-09
Paper Fiber,Production,Production,high characterization factor for unspecified water,m3 world equiv.,5648.998145
Paper Fiber,Production,Production,low characterization factor for unspecified water,m3 world equiv.,171.6220784
Paper Fiber,Production,Production,OECD+BRIC average for unspecified water,m3 world equiv.,3405.318401
Paper Fiber,Production,Production,Blue water consumption,kg,99273.34916
Paper Fiber,Production,Production,Blue water use,kg,23502483.14
Paper Fiber,Production,Production,Total freshwater consumption (including rainwater),kg,101388.6422
Paper Fiber,Production,Production,Total freshwater use,kg,23504598.43
Paper Fiber,Production,Production,high characterization factor for unspecified water,m3 equiv.,79.41867933
Paper Fiber,Production,Production,low characterization factor for unspecified water,m3 equiv.,9.927334916
Paper Fiber,Production,Production,OECD+BRIC average for unspecified water,m3 equiv.,33.84486583
Yard Debris,Production,Composting,Primary energy demand from ren. and non ren. resources (gross cal. value),MJ,-4005.405776
Yard Debris,Production,Composting,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,-3963.416211
Yard Debris,Production,Composting,Primary energy from non renewable resources (gross cal. value),MJ,-710.179086
Yard Debris,Production,Composting,Primary energy from non renewable resources (net cal. value),MJ,-668.1895203
Yard Debris,Production,Composting,Primary energy from renewable resources (gross cal. value),MJ,-3295.22669
Yard Debris,Production,Composting,Primary energy from renewable resources (net cal. value),MJ,-3295.22669
Yard Debris,Production,Composting,"Global Warming Air, excl biogenic carbon, incl LUC, no norm/weight",kg CO2 eq.,-89.15382628
Yard Debris,Production,Composting,"Global Warming Air, incl biogenic carbon, incl LUC, no norm/weight",kg CO2 eq.,533.7869477
Yard Debris,Production,Composting,"Global Warming Air, LUC only, no norm/weight",kg CO2 eq.,0.016230338
Yard Debris,Production,Composting,Acidification,kg SO2 eq.,0.263085144
Yard Debris,Production,Composting,Ecotoxicity (recommended),CTUe,2135.663861
Yard Debris,Production,Composting,Eutrophication,kg N eq.,0.013730616
Yard Debris,Production,Composting,"Global Warming Air, excl. biogenic carbon",kg CO2 eq.,-89.17005661
Yard Debris,Production,Composting,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,533.7707173
Yard Debris,Production,Composting,Human Health Particulate Air,kg PM2.5 eq.,-0.110306629
Yard Debris,Production,Composting,"Human toxicity, cancer (recommended)",CTUh,6.28E-07
Yard Debris,Production,Composting,"Human toxicity, non-canc. (recommended)",CTUh,0.001769581
Yard Debris,Production,Composting,Ozone Depletion Air,kg CFC 11 eq.,-1.62E-10
Yard Debris,Production,Composting,"Resources, Fossil fuels",MJ surplus energy,-28.96162547
Yard Debris,Production,Composting,Smog Air,kg O3 eq.,-0.809296238
Yard Debris,Production,Composting,Ecotoxicity (recommended and interim),CTUe,7417818.164
Yard Debris,Production,Composting,Ecotoxicity (recommended only),CTUe,-0.076482896
Yard Debris,Production,Composting,"Human toxicity, cancer (recommended and interim)",CTUh,1.18E-06
Yard Debris,Production,Composting,"Human toxicity, cancer (recommended only)",CTUh,-5.96E-09
Yard Debris,Production,Composting,"Human toxicity, non-canc. (recommended and interim)",CTUh,0.000977914
Yard Debris,Production,Composting,"Human toxicity, non-canc. (recommended only)",CTUh,-1.45E-10
Yard Debris,Production,Composting,high characterization factor for unspecified water,m3 world equiv.,14.70540161
Yard Debris,Production,Composting,low characterization factor for unspecified water,m3 world equiv.,0.140885749
Yard Debris,Production,Composting,OECD+BRIC average for unspecified water,m3 world equiv.,8.739386367
Yard Debris,Production,Composting,Blue water consumption,kg,106.7477306
Yard Debris,Production,Composting,Blue water use,kg,-569161.6959
Yard Debris,Production,Composting,Total freshwater consumption (including rainwater),kg,-545.181372
Yard Debris,Production,Composting,Total freshwater use,kg,-569813.9863
Yard Debris,Production,Composting,high characterization factor for unspecified water,m3 equiv.,0.193157289
Yard Debris,Production,Composting,low characterization factor for unspecified water,m3 equiv.,0.008377611
Yard Debris,Production,Composting,OECD+BRIC average for unspecified water,m3 equiv.,0.071975081
Yard Debris,Production,Combustion,Primary energy demand from ren. and non ren. resources (gross cal. value),MJ,974.5911339
Yard Debris,Production,Combustion,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,893.2688559
Yard Debris,Production,Combustion,Primary energy from non renewable resources (gross cal. value),MJ,948.5308148
