"material","disposition","LCstage","impactCategory","impactUnits","impactFactor","impliedMiles"
"Rigid Plastic Cont.","combustion","endOfLife","Water consumption","kg",-501.034825769893,NA
"Rigid Plastic Cont.","landfilling","endOfLife","Energy demand","MJ",680.431139444944,NA
"Rigid Plastic Cont.","landfilling","endOfLife","Eutrophication","kg N eq.",0.00941656922528107,NA
"Rigid Plastic Cont.","landfilling","endOfLife","Global warming","kg CO2 eq.",39.7640939025638,NA
"Rigid Plastic Cont.","landfilling","endOfLife","Human toxicity","CTUh",1.73132950465102e-07,NA
"Rigid Plastic Cont.","landfilling","endOfLife","Smog","kg O3 eq.",3.66087854611398,NA
"Rigid Plastic Cont.","landfilling","endOfLife","Water consumption","kg",78.6232995578284,NA
"Rigid Plastic Cont.","recycling","endOfLife","Energy demand","MJ",-2087.58716894793,NA
"Rigid Plastic Cont.","recycling","endOfLife","Eutrophication","kg N eq.",-0.0708213799926024,NA
"Rigid Plastic Cont.","recycling","endOfLife","Global warming","kg CO2 eq.",-150.166042785371,NA
"Rigid Plastic Cont.","recycling","endOfLife","Human toxicity","CTUh",-2.08992223031169e-07,NA
"Rigid Plastic Cont.","recycling","endOfLife","Smog","kg O3 eq.",-11.4387385860775,NA
"Rigid Plastic Cont.","recycling","endOfLife","Water consumption","kg",-694.657358965385,NA
"Rigid Plastic Cont.","combustion","endOfLifeTransport","Energy demand","MJ",1.8464705568407,180
"Rigid Plastic Cont.","combustion","endOfLifeTransport","Eutrophication","kg N eq.",4.33817628990274e-05,180
"Rigid Plastic Cont.","combustion","endOfLifeTransport","Global warming","kg CO2 eq.",0.127705403332056,180
"Rigid Plastic Cont.","combustion","endOfLifeTransport","Human toxicity","CTUh",6.75005513471328e-11,180
"Rigid Plastic Cont.","combustion","endOfLifeTransport","Smog","kg O3 eq.",0.0165991888681978,180
"Rigid Plastic Cont.","combustion","endOfLifeTransport","Water consumption","kg",0.217399569849707,180
"Rigid Plastic Cont.","landfilling","endOfLifeTransport","Energy demand","MJ",1.8464705568407,180
"Rigid Plastic Cont.","landfilling","endOfLifeTransport","Eutrophication","kg N eq.",4.33817628990274e-05,180
"Rigid Plastic Cont.","landfilling","endOfLifeTransport","Global warming","kg CO2 eq.",0.127705403332056,180
"Rigid Plastic Cont.","landfilling","endOfLifeTransport","Human toxicity","CTUh",6.75005513471328e-11,180
"Rigid Plastic Cont.","landfilling","endOfLifeTransport","Smog","kg O3 eq.",0.0165991888681978,180
"Rigid Plastic Cont.","landfilling","endOfLifeTransport","Water consumption","kg",0.217399569849707,180
"Rigid Plastic Cont.","recycling","endOfLifeTransport","Energy demand","MJ",2.90042600248944,180
"Rigid Plastic Cont.","recycling","endOfLifeTransport","Eutrophication","kg N eq.",7.63501046471128e-05,180
"Rigid Plastic Cont.","recycling","endOfLifeTransport","Global warming","kg CO2 eq.",0.200513188271367,180
"Rigid Plastic Cont.","recycling","endOfLifeTransport","Human toxicity","CTUh",1.06005249883158e-10,180
"Rigid Plastic Cont.","recycling","endOfLifeTransport","Smog","kg O3 eq.",0.0307527460080563,180
"Rigid Plastic Cont.","recycling","endOfLifeTransport","Water consumption","kg",0.340563929946618,180
"Rigid Plastic Cont.","production","production","Energy demand","MJ",14238.2233415662,NA
"Rigid Plastic Cont.","production","production","Eutrophication","kg N eq.",1.77266548663721,NA
"Rigid Plastic Cont.","production","production","Global warming","kg CO2 eq.",927.326122775538,NA
"Rigid Plastic Cont.","production","production","Human toxicity","CTUh",3.40762106385021e-05,NA
"Rigid Plastic Cont.","production","production","Smog","kg O3 eq.",81.6778060669051,NA
"Rigid Plastic Cont.","production","production","Water consumption","kg",6826.18496641441,NA
"Scrap Metal - Other","landfilling","endOfLife","Energy demand","MJ",680.431139444944,NA
"Scrap Metal - Other","landfilling","endOfLife","Eutrophication","kg N eq.",0.00941656922528107,NA
"Scrap Metal - Other","landfilling","endOfLife","Global warming","kg CO2 eq.",39.7640939025638,NA
"Scrap Metal - Other","landfilling","endOfLife","Human toxicity","CTUh",1.73132950465102e-07,NA
"Scrap Metal - Other","landfilling","endOfLife","Smog","kg O3 eq.",3.66087854611398,NA
"Scrap Metal - Other","landfilling","endOfLife","Water consumption","kg",78.6232995578284,NA
"Scrap Metal - Other","recycling","endOfLife","Energy demand","MJ",-30251.2819148879,NA
"Scrap Metal - Other","recycling","endOfLife","Eutrophication","kg N eq.",-0.207070162810331,NA
"Scrap Metal - Other","recycling","endOfLife","Global warming","kg CO2 eq.",-2095.08195893509,NA
"Scrap Metal - Other","recycling","endOfLife","Human toxicity","CTUh",-2.22891933653896e-05,NA
"Scrap Metal - Other","recycling","endOfLife","Smog","kg O3 eq.",-114.56230985136,NA
"Scrap Metal - Other","recycling","endOfLife","Water consumption","kg",-72261.2800445482,NA
"Scrap Metal - Other","landfilling","endOfLifeTransport","Energy demand","MJ",1.8464705568407,180
"Scrap Metal - Other","landfilling","endOfLifeTransport","Eutrophication","kg N eq.",4.33817628990274e-05,180
"Scrap Metal - Other","landfilling","endOfLifeTransport","Global warming","kg CO2 eq.",0.127705403332056,180
"Scrap Metal - Other","landfilling","endOfLifeTransport","Human toxicity","CTUh",6.75005513471328e-11,180
"Scrap Metal - Other","landfilling","endOfLifeTransport","Smog","kg O3 eq.",0.0165991888681978,180
"Scrap Metal - Other","landfilling","endOfLifeTransport","Water consumption","kg",0.217399569849707,180
"Scrap Metal - Other","recycling","endOfLifeTransport","Energy demand","MJ",2.69745443452463,180
"Scrap Metal - Other","recycling","endOfLifeTransport","Eutrophication","kg N eq.",7.10057638120811e-05,180
"Scrap Metal - Other","recycling","endOfLifeTransport","Global warming","kg CO2 eq.",0.186481320494688,180
"Scrap Metal - Other","recycling","endOfLifeTransport","Human toxicity","CTUh",9.85870089900544e-11,180
"Scrap Metal - Other","recycling","endOfLifeTransport","Smog","kg O3 eq.",0.0285998846077565,180
"Scrap Metal - Other","recycling","endOfLifeTransport","Water consumption","kg",0.31673120260829,180
"Scrap Metal - Other","production","production","Energy demand","MJ",73852.3490903196,NA
"Scrap Metal - Other","production","production","Eutrophication","kg N eq.",0.500301226383645,NA
"Scrap Metal - Other","production","production","Global warming","kg CO2 eq.",4686.27962361537,NA
"Scrap Metal - Other","production","production","Human toxicity","CTUh",2.86908367339473e-05,NA
"Scrap Metal - Other","production","production","Smog","kg O3 eq.",229.27488958818,NA
"Scrap Metal - Other","production","production","Water consumption","kg",99330.3607729572,NA
"Wood Waste","combustion","endOfLife","Energy demand","MJ",-544.621811110032,NA
"Wood Waste","combustion","endOfLife","Eutrophication","kg N eq.",0.0237418734040536,NA
"Wood Waste","combustion","endOfLife","Global warming","kg CO2 eq.",566.013742841146,NA
"Wood Waste","combustion","endOfLife","Human toxicity","CTUh",2.85951683709566e-08,NA
"Wood Waste","combustion","endOfLife","Smog","kg O3 eq.",12.8337980681661,NA
"Wood Waste","combustion","endOfLife","Water consumption","kg",-501.034825769893,NA
"Wood Waste","composting","endOfLife","Energy demand","MJ",-3963.41621057697,NA
"Wood Waste","composting","endOfLife","Eutrophication","kg N eq.",0.0137306156740234,NA
"Wood Waste","composting","endOfLife","Global warming","kg CO2 eq.",533.786947651242,NA
"Wood Waste","composting","endOfLife","Human toxicity","CTUh",6.28114029327582e-07,NA
"Wood Waste","composting","endOfLife","Smog","kg O3 eq.",-0.809296238475857,NA
"Wood Waste","composting","endOfLife","Water consumption","kg",106.747730603442,NA
"Wood Waste","landfilling","endOfLife","Energy demand","MJ",358.146600062534,NA
"Wood Waste","landfilling","endOfLife","Eutrophication","kg N eq.",1.5836943952776,NA
"Wood Waste","landfilling","endOfLife","Global warming","kg CO2 eq.",426.558768844724,NA
"Wood Waste","landfilling","endOfLife","Human toxicity","CTUh",2.045595647272e-07,NA
"Wood Waste","landfilling","endOfLife","Smog","kg O3 eq.",6.78397738421397,NA
"Wood Waste","landfilling","endOfLife","Water consumption","kg",-315.304259435827,NA
"Wood Waste","recycling","endOfLife","Energy demand","MJ",-2087.58716894793,NA
"Wood Waste","recycling","endOfLife","Eutrophication","kg N eq.",-0.0708213799926024,NA
"Wood Waste","recycling","endOfLife","Global warming","kg CO2 eq.",-150.166042785371,NA
"Wood Waste","recycling","endOfLife","Human toxicity","CTUh",-2.08992223031169e-07,NA
"Wood Waste","recycling","endOfLife","Smog","kg O3 eq.",-11.4387385860775,NA
"Wood Waste","recycling","endOfLife","Water consumption","kg",-694.657358965385,NA
"Wood Waste","combustion","endOfLifeTransport","Energy demand","MJ",1.8464705568407,180
"Wood Waste","combustion","endOfLifeTransport","Eutrophication","kg N eq.",4.33817628990274e-05,180
"Wood Waste","combustion","endOfLifeTransport","Global warming","kg CO2 eq.",0.127705403332056,180
"Wood Waste","combustion","endOfLifeTransport","Human toxicity","CTUh",6.75005513471328e-11,180
"Wood Waste","combustion","endOfLifeTransport","Smog","kg O3 eq.",0.0165991888681978,180
"Wood Waste","combustion","endOfLifeTransport","Water consumption","kg",0.217399569849707,180
"Wood Waste","composting","endOfLifeTransport","Energy demand","MJ",1.8464705568407,180
"Wood Waste","composting","endOfLifeTransport","Eutrophication","kg N eq.",4.33817628990274e-05,180
"Wood Waste","composting","endOfLifeTransport","Global warming","kg CO2 eq.",0.127705403332056,180
"Wood Waste","composting","endOfLifeTransport","Human toxicity","CTUh",6.75005513471328e-11,180
"Wood Waste","composting","endOfLifeTransport","Smog","kg O3 eq.",0.0165991888681978,180
"Wood Waste","composting","endOfLifeTransport","Water consumption","kg",0.217399569849707,180
"Wood Waste","landfilling","endOfLifeTransport","Energy demand","MJ",1.8464705568407,180
"Wood Waste","landfilling","endOfLifeTransport","Eutrophication","kg N eq.",4.33817628990274e-05,180
"Wood Waste","landfilling","endOfLifeTransport","Global warming","kg CO2 eq.",0.127705403332056,180
"Wood Waste","landfilling","endOfLifeTransport","Human toxicity","CTUh",6.75005513471328e-11,180
"Wood Waste","landfilling","endOfLifeTransport","Smog","kg O3 eq.",0.0165991888681978,180
"Wood Waste","landfilling","endOfLifeTransport","Water consumption","kg",0.217399569849707,180
"Wood Waste","recycling","endOfLifeTransport","Energy demand","MJ",2.90042600248944,180
"Wood Waste","recycling","endOfLifeTransport","Eutrophication","kg N eq.",7.63501046471128e-05,180
"Wood Waste","recycling","endOfLifeTransport","Global warming","kg CO2 eq.",0.200513188271367,180
"Wood Waste","recycling","endOfLifeTransport","Human toxicity","CTUh",1.06005249883158e-10,180
"Wood Waste","recycling","endOfLifeTransport","Smog","kg O3 eq.",0.0307527460080563,180
"Wood Waste","recycling","endOfLifeTransport","Water consumption","kg",0.340563929946618,180
"Wood Waste","production","production","Energy demand","MJ",37482.194939694,NA
"Wood Waste","production","production","Eutrophication","kg N eq.",16.376480739538,NA
"Wood Waste","production","production","Global warming","kg CO2 eq.",278.588029764997,NA
"Wood Waste","production","production","Human toxicity","CTUh",5.903503467807e-05,NA
"Wood Waste","production","production","Smog","kg O3 eq.",85.9010389778924,NA
"Wood Waste","production","production","Water consumption","kg",131944.292154649,NA
"Yard Debris","anaerobicDigestion","endOfLife","Energy demand","MJ",-5316.37704998353,NA
"Yard Debris","anaerobicDigestion","endOfLife","Eutrophication","kg N eq.",0.307660669033052,NA
"Yard Debris","anaerobicDigestion","endOfLife","Global warming","kg CO2 eq.",171.77877067953,NA
"Yard Debris","anaerobicDigestion","endOfLife","Human toxicity","CTUh",3.85424182861614e-05,NA
"Yard Debris","anaerobicDigestion","endOfLife","Smog","kg O3 eq.",2.81939810895949,NA
"Yard Debris","anaerobicDigestion","endOfLife","Water consumption","kg",1304.37897373055,NA
"Yard Debris","combustion","endOfLife","Energy demand","MJ",-544.621811110032,NA
"Yard Debris","combustion","endOfLife","Eutrophication","kg N eq.",0.0237418734040536,NA
"Yard Debris","combustion","endOfLife","Global warming","kg CO2 eq.",566.013742841146,NA
"Yard Debris","combustion","endOfLife","Human toxicity","CTUh",2.85951683709566e-08,NA
"Yard Debris","combustion","endOfLife","Smog","kg O3 eq.",12.8337980681661,NA
"Yard Debris","combustion","endOfLife","Water consumption","kg",-501.034825769893,NA
"Yard Debris","composting","endOfLife","Energy demand","MJ",-3963.41621057697,NA
"Yard Debris","composting","endOfLife","Eutrophication","kg N eq.",0.0137306156740234,NA
"Yard Debris","composting","endOfLife","Global warming","kg CO2 eq.",533.786947651242,NA
"Yard Debris","composting","endOfLife","Human toxicity","CTUh",6.28114029327582e-07,NA
"Yard Debris","composting","endOfLife","Smog","kg O3 eq.",-0.809296238475857,NA
"Yard Debris","composting","endOfLife","Water consumption","kg",106.747730603442,NA
"Yard Debris","landfilling","endOfLife","Energy demand","MJ",358.146600062534,NA
"Yard Debris","landfilling","endOfLife","Eutrophication","kg N eq.",1.5836943952776,NA
"Yard Debris","landfilling","endOfLife","Global warming","kg CO2 eq.",426.558768844724,NA
"Yard Debris","landfilling","endOfLife","Human toxicity","CTUh",2.045595647272e-07,NA
"Yard Debris","landfilling","endOfLife","Smog","kg O3 eq.",6.78397738421397,NA
"Yard Debris","landfilling","endOfLife","Water consumption","kg",-315.304259435827,NA
"Yard Debris","anaerobicDigestion","endOfLifeTransport","Energy demand","MJ",1.8464705568407,180
"Yard Debris","anaerobicDigestion","endOfLifeTransport","Eutrophication","kg N eq.",4.33817628990274e-05,180
"Yard Debris","anaerobicDigestion","endOfLifeTransport","Global warming","kg CO2 eq.",0.127705403332056,180
"Yard Debris","anaerobicDigestion","endOfLifeTransport","Human toxicity","CTUh",6.75005513471328e-11,180
"Yard Debris","anaerobicDigestion","endOfLifeTransport","Smog","kg O3 eq.",0.0165991888681978,180
"Yard Debris","anaerobicDigestion","endOfLifeTransport","Water consumption","kg",0.217399569849707,180
"Yard Debris","combustion","endOfLifeTransport","Energy demand","MJ",1.8464705568407,180
"Yard Debris","combustion","endOfLifeTransport","Eutrophication","kg N eq.",4.33817628990274e-05,180
"Yard Debris","combustion","endOfLifeTransport","Global warming","kg CO2 eq.",0.127705403332056,180
"Yard Debris","combustion","endOfLifeTransport","Human toxicity","CTUh",6.75005513471328e-11,180
"Yard Debris","combustion","endOfLifeTransport","Smog","kg O3 eq.",0.0165991888681978,180
"Yard Debris","combustion","endOfLifeTransport","Water consumption","kg",0.217399569849707,180
"Yard Debris","composting","endOfLifeTransport","Energy demand","MJ",1.8464705568407,180
"Yard Debris","composting","endOfLifeTransport","Eutrophication","kg N eq.",4.33817628990274e-05,180
"Yard Debris","composting","endOfLifeTransport","Global warming","kg CO2 eq.",0.127705403332056,180
"Yard Debris","composting","endOfLifeTransport","Human toxicity","CTUh",6.75005513471328e-11,180
"Yard Debris","composting","endOfLifeTransport","Smog","kg O3 eq.",0.0165991888681978,180
"Yard Debris","composting","endOfLifeTransport","Water consumption","kg",0.217399569849707,180
"Yard Debris","landfilling","endOfLifeTransport","Energy demand","MJ",1.8464705568407,180
"Yard Debris","landfilling","endOfLifeTransport","Eutrophication","kg N eq.",4.33817628990274e-05,180
"Yard Debris","landfilling","endOfLifeTransport","Global warming","kg CO2 eq.",0.127705403332056,180
"Yard Debris","landfilling","endOfLifeTransport","Human toxicity","CTUh",6.75005513471328e-11,180
"Yard Debris","landfilling","endOfLifeTransport","Smog","kg O3 eq.",0.0165991888681978,180
"Yard Debris","landfilling","endOfLifeTransport","Water consumption","kg",0.217399569849707,180
"Yard Debris","production","production","Energy demand","MJ",37482.194939694,NA
"Yard Debris","production","production","Eutrophication","kg N eq.",16.376480739538,NA
"Yard Debris","production","production","Global warming","kg CO2 eq.",278.588029764997,NA
"Yard Debris","production","production","Human toxicity","CTUh",5.903503467807e-05,NA
"Yard Debris","production","production","Smog","kg O3 eq.",85.9010389778924,NA
"Yard Debris","production","production","Water consumption","kg",131944.292154649,NA
